Cancer Type,Year,Age_Group (years),Age_Specific Rate,Case_Count,Population
Non-Hodgkin Lymphoma,2019, 60-64,41.8,8515,20374431
Non-Hodgkin Lymphoma,2019, 65-69,58.6,10121,17279940
Non-Hodgkin Lymphoma,2019, 70-74,75.5,10492,13887511
Non-Hodgkin Lymphoma,2019, 75-79,100,9557,9556958
Non-Hodgkin Lymphoma,2019, 80-84,112.5,7045,6260236
Non-Hodgkin Lymphoma,2019, 85+,98,6423,6554408
Non-Hodgkin Lymphoma,2015-2019, <1,0.3,54,19239813
Non-Hodgkin Lymphoma,2015-2019, 1-4,0.7,537,78947442
Non-Hodgkin Lymphoma,2015-2019, 5-9,1.1,1086,100748021
Non-Hodgkin Lymphoma,2015-2019, 10-14,1.4,1424,102775941
Non-Hodgkin Lymphoma,2015-2019, 15-19,1.9,2004,104582969
Non-Hodgkin Lymphoma,2015-2019, 20-24,2.4,2663,109675069
Non-Hodgkin Lymphoma,2015-2019, 25-29,3.4,3867,114709442
Non-Hodgkin Lymphoma,2015-2019, 30-34,4.7,5128,108965037
Non-Hodgkin Lymphoma,2015-2019, 35-39,6.7,6996,104567838
Non-Hodgkin Lymphoma,2015-2019, 40-44,9.5,9272,98037577
Non-Hodgkin Lymphoma,2015-2019, 45-49,13.9,14322,102684516
Non-Hodgkin Lymphoma,2015-2019, 50-54,21.3,22536,105736928
Non-Hodgkin Lymphoma,2015-2019, 55-59,30.6,33148,108453769
Non-Hodgkin Lymphoma,2015-2019, 60-64,42.9,42178,98371764
Non-Hodgkin Lymphoma,2015-2019, 65-69,61,50842,83341080
Non-Hodgkin Lymphoma,2015-2019, 70-74,80.8,50770,62843797
Non-Hodgkin Lymphoma,2015-2019, 75-79,102.7,44883,43683754
Non-Hodgkin Lymphoma,2015-2019, 80-84,116.1,34602,29811614
Non-Hodgkin Lymphoma,2015-2019, 85+,102.6,32892,32042979
Thyroid,2015-2019, <1,Data Suppressed,Data Suppressed,19239813
Thyroid,2015-2019, 1-4,0,21,78947442
Thyroid,2015-2019, 5-9,0.1,150,100748021
Thyroid,2015-2019, 10-14,0.9,928,102775941
Thyroid,2015-2019, 15-19,3.4,3559,104582969
Thyroid,2015-2019, 20-24,6.6,7199,109675069
Thyroid,2015-2019, 25-29,10.7,12322,114709442
Thyroid,2015-2019, 30-34,15.8,17240,108965037
Thyroid,2015-2019, 35-39,19.7,20550,104567838
Thyroid,2015-2019, 40-44,22,21580,98037577
Thyroid,2015-2019, 45-49,23.2,23827,102684516
Thyroid,2015-2019, 50-54,23.7,25040,105736928
Thyroid,2015-2019, 55-59,24,26053,108453769
Thyroid,2015-2019, 60-64,23.8,23434,98371764
Thyroid,2015-2019, 65-69,25.4,21156,83341080
Thyroid,2015-2019, 70-74,23.5,14782,62843797
Thyroid,2015-2019, 75-79,21,9155,43683754
Thyroid,2015-2019, 80-84,15.9,4754,29811614
Thyroid,2015-2019, 85+,9.5,3048,32042979
Thyroid,2019, <1,Data Suppressed,Data Suppressed,3726447
Thyroid,2019, 1-4,Data Suppressed,Data Suppressed,15658972
Thyroid,2019, 5-9,0.2,34,20028109
Thyroid,2019, 10-14,1,197,20620267
Thyroid,2019, 15-19,3.5,731,20883129
Thyroid,2019, 20-24,6.5,1390,21460113
Thyroid,2019, 25-29,10.2,2388,23308506
Thyroid,2019, 30-34,14.6,3238,22239076
Thyroid,2019, 35-39,18.3,3933,21537841
Thyroid,2019, 40-44,21.2,4191,19724922
Thyroid,2019, 45-49,22,4449,20189923
Thyroid,2019, 50-54,22.8,4616,20275368
Thyroid,2019, 55-59,22,4763,21673025
Thyroid,2019, 60-64,22.4,4563,20374431
Thyroid,2019, 65-69,23.9,4129,17279940
Thyroid,2019, 70-74,23.2,3220,13887511
Thyroid,2019, 75-79,20.1,1922,9556958
Thyroid,2019, 80-84,14.7,922,6260236
Thyroid,2019, 85+,9.5,620,6554408
Pancreas,2019, <1,Data Suppressed,Data Suppressed,3726447
Pancreas,2019, 1-4,Data Suppressed,Data Suppressed,15658972
Pancreas,2019, 5-9,Data Suppressed,Data Suppressed,20028109
Pancreas,2019, 10-14,0.1,22,20620267
Pancreas,2019, 15-19,0.2,50,20883129
