Cancer Type,Race,Sex,Year,Age-Adjusted Rate,lci,uci,Case Count,Population,,,,,
Non-Hodgkin Lymphoma,Black Non-Hispanic,Female,2019,11.3,10.8,11.7,2660,22401024,,,,,
Non-Hodgkin Lymphoma,Black Non-Hispanic,Male,2019,16.1,15.5,16.8,2995,20599304,,,,,
Non-Hodgkin Lymphoma,White Non-Hispanic,Female,2019,15.5,15.3,15.7,23926,101049632,,,,,
Non-Hodgkin Lymphoma,White Non-Hispanic,Male,2019,23,22.7,23.3,30470,98260319,,,,,
Thyroid,Hispanic,Female,2019,21.2,20.6,21.8,5670,29481430,,,,,
Thyroid,Hispanic,Male,2019,6.3,5.9,6.6,1536,30015368,,,,,
Thyroid,Asian and Pacific Islander Non-Hispanic,Female,2019,21.9,21,22.8,2532,10775928,,,,,
Thyroid,Asian and Pacific Islander Non-Hispanic,Male,2019,6.9,6.4,7.5,696,9933270,,,,,
Thyroid,American Indian and Alaska Native Non-Hispanic,Female,2019,17.5,15.2,19.9,231,1388337,,,,,
Thyroid,American Indian and Alaska Native Non-Hispanic,Male,2019,4.9,3.7,6.3,62,1334570,,,,,
Thyroid,Black Non-Hispanic,Female,2019,11.2,10.7,11.6,2571,22401024,,,,,
Thyroid,Black Non-Hispanic,Male,2019,3.4,3.1,3.7,641,20599304,,,,,
Thyroid,White Non-Hispanic,Female,2019,19.7,19.4,19.9,21413,101049632,,,,,
Thyroid,White Non-Hispanic,Male,2019,7.8,7.7,8,9183,98260319,,,,,
Thyroid,Hispanic,Female,2015-2019,21.5,21.2,21.7,27290,142281503,,,,,
Thyroid,Hispanic,Male,2015-2019,6,5.8,6.1,6858,145108071,,,,,
Thyroid,Asian and Pacific Islander Non-Hispanic,Female,2015-2019,22.1,21.7,22.5,12201,51654262,,,,,
Thyroid,Asian and Pacific Islander Non-Hispanic,Male,2015-2019,7.3,7.1,7.6,3479,47521058,,,,,
Thyroid,American Indian and Alaska Native Non-Hispanic,Female,2015-2019,18.7,17.7,19.8,1240,6857318,,,,,
Thyroid,American Indian and Alaska Native Non-Hispanic,Male,2015-2019,5.4,4.9,6.1,336,6603829,,,,,
Thyroid,Black Non-Hispanic,Female,2015-2019,12.6,12.4,12.8,14011,110125147,,,,,
Thyroid,Black Non-Hispanic,Male,2015-2019,3.7,3.6,3.8,3426,101177868,,,,,
Thyroid,White Non-Hispanic,Female,2015-2019,21.3,21.2,21.5,116218,506010173,,,,,
Thyroid,White Non-Hispanic,Male,2015-2019,8.1,8,8.1,46595,491880121,,,,,
Pancreas,Hispanic,Female,2015-2019,11.1,10.9,11.3,11127,142281503,,,,,
Pancreas,Hispanic,Male,2015-2019,12.8,12.5,13,10777,145108071,,,,,
Pancreas,Asian and Pacific Islander Non-Hispanic,Female,2015-2019,8.9,8.6,9.1,4624,51654262,,,,,
Pancreas,Asian and Pacific Islander Non-Hispanic,Male,2015-2019,10.5,10.2,10.8,4348,47521058,,,,,
Pancreas,American Indian and Alaska Native Non-Hispanic,Female,2015-2019,10.9,10.1,11.7,735,6857318,,,,,
Pancreas,American Indian and Alaska Native Non-Hispanic,Male,2015-2019,12.7,11.7,13.7,743,6603829,,,,,
Pancreas,Black Non-Hispanic,Female,2015-2019,14.9,14.7,15.2,16981,110125147,,,,,
Pancreas,Black Non-Hispanic,Male,2015-2019,17.7,17.4,18,15091,101177868,,,,,
Pancreas,White Non-Hispanic,Female,2015-2019,11.4,11.3,11.4,90934,506010173,,,,,
Pancreas,White Non-Hispanic,Male,2015-2019,15.3,15.2,15.4,102833,491880121,,,,,
Pancreas,Hispanic,Female,2019,11.1,10.7,11.6,2435,29481430,,,,,
Pancreas,Hispanic,Male,2019,12.6,12.1,13.2,2336,30015368,,,,,
Pancreas,Asian and Pacific Islander Non-Hispanic,Female,2019,8.6,8.1,9.2,994,10775928,,,,,
Pancreas,Asian and Pacific Islander Non-Hispanic,Male,2019,10.4,9.8,11.1,938,9933270,,,,,
Pancreas,American Indian and Alaska Native Non-Hispanic,Female,2019,11.4,9.7,13.3,169,1388337,,,,,
Pancreas,American Indian and Alaska Native Non-Hispanic,Male,2019,11.2,9.4,13.2,149,1334570,,,,,
Pancreas,Black Non-Hispanic,Female,2019,14.4,13.9,14.9,3465,22401024,,,,,
Pancreas,Black Non-Hispanic,Male,2019,17.3,16.7,18,3156,20599304,,,,,
Pancreas,White Non-Hispanic,Female,2019,11.4,11.2,11.6,18822,101049632,,,,,
Pancreas,White Non-Hispanic,Male,2019,15.2,15,15.4,21291,98260319,,,,,
Testis,White Non-Hispanic,Male,2019,6.8,,,6193,98260319,,,,,
Testis,Black Non-Hispanic,Male,2019,1.5,,,298,20599304,,,,,
Testis,American Indian and Alaska Native Non-Hispanic,Male,2019,6.9,,,86,1334570,,,,,
Testis,Asian and Pacific Islander Non-Hispanic,Male,2019,2.2,,,232,9933270,,,,,
Testis,Hispanic,Male,2019,5.3,,,1735,30015368,,,,,
Testis,White Non-Hispanic,Male,2015-2019,7,,,32051,491880121,,,,,
Testis,Black Non-Hispanic,Male,2015-2019,1.5,,,1504,101177868,,,,,
Testis,American Indian and Alaska Native Non-Hispanic,Male,2015-2019,6.4,,,417,6603829,,,,,
Testis,Asian and Pacific Islander Non-Hispanic,Male,2015-2019,2.1,,,1088,47521058,,,,,
Testis,Hispanic,Male,2015-2019,5.3,,,8547,145108071,,,,,
Female Breast,White Non-Hispanic,Female,2015-2019,133.6,,,937745,506010173,,,,,
Female Breast,Black Non-Hispanic,Female,2015-2019,127.9,,,145923,110125147,,,,,
Female Breast,American Indian and Alaska Native Non-Hispanic,Female,2015-2019,102.7,,,7134,6857318,,,,,
Female Breast,Asian and Pacific Islander Non-Hispanic,Female,2015-2019,101.3,,,55766,51654262,,,,,
Female Breast,Hispanic,Female,2015-2019,99.3,,,112938,142281503,,,,,
Female Breast,White Non-Hispanic,Female,2019,135.2,,,192603,101049632,,,,,
Female Breast,Black Non-Hispanic,Female,2019,128.4,,,30450,22401024,,,,,
Female Breast,American Indian and Alaska Native Non-Hispanic,Female,2019,101.7,,,1488,1388337,,,,,
Female Breast,Asian and Pacific Islander Non-Hispanic,Female,2019,104.5,,,12261,10775928,,,,,
Female Breast,Hispanic,Female,2019,101.9,,,24857,29481430,,,,,
